Nikola Jokić	efficiency, playmaking, scoring	shot blocking, rim protection
Shai Gilgeous-Alexander	efficiency, scoring, free-throw shooting	shot blocking, rim protection
Victor Wembanyama	rim protection, shot blocking, interior defense	decision-making, steals
Luka Dončić	scoring, playmaking, passing	shot blocking, rim protection
Giannis Antetokounmpo	efficiency, scoring, finishing	shot blocking
Kawhi Leonard	free-throw shooting, scoring, steals	shot blocking, rim protection
Cade Cunningham	playmaking, passing, scoring	shot blocking, rim protection
Tyrese Maxey	free-throw shooting, scoring, playmaking	shot blocking
Jalen Duren	efficiency, finishing, scoring	three-point shooting
Jaylen Brown	scoring, free-throw shooting	shot blocking, rim protection
Alperen Şengün	scoring, passing, playmaking	three-point shooting
Anthony Edwards	scoring, three-point shooting, efficiency	shot blocking
Chet Holmgren	efficiency, rim protection, finishing	steals, playmaking
Deni Avdija	scoring, passing, playmaking	shot blocking, rim protection
Donovan Mitchell	scoring, free-throw shooting, midrange	rim protection, shot blocking
Jalen Johnson	playmaking, passing, scoring	shot blocking, rim protection
Karl-Anthony Towns	free-throw shooting, rebounding, scoring	shot blocking, rim protection
Kevin Durant	free-throw shooting, three-point shooting, efficiency	steals
Evan Mobley	finishing, rim protection, athleticism	free-throw shooting, three-point shooting
Jayson Tatum	free-throw shooting, scoring	shot blocking, rim protection
Stephen Curry	free-throw shooting, scoring, efficiency	shot blocking, rim protection
Jalen Williams	free-throw shooting	shot blocking, rim protection
Jamal Murray	three-point shooting, free-throw shooting, scoring	rim protection, shot blocking
James Harden	free-throw shooting, playmaking, passing	shot blocking, rim protection
Jimmy Butler	efficiency, free-throw shooting, scoring	shot blocking, rim protection
Joel Embiid	scoring, free-throw shooting	steals
LeBron James	passing, playmaking, scoring	shot blocking, rim protection
Scottie Barnes	free-throw shooting, interior defense, athleticism	three-point shooting
Devin Booker	free-throw shooting, scoring, passing	rim protection, shot blocking
Jalen Brunson	scoring, free-throw shooting, playmaking	rim protection, shot blocking
Amen Thompson	midrange, finishing, athleticism	shot blocking, three-point shooting
Anthony Davis	scoring, rebounding, interior defense	three-point shooting
Austin Reaves	free-throw shooting, efficiency, scoring	shot blocking, rim protection
Bam Adebayo	scoring	shot blocking, rim protection
Donovan Clingan	rebounding, rim protection, athleticism	steals
LaMelo Ball	free-throw shooting, passing, playmaking	shot blocking, rim protection
